,0,1,2,3,4,5,6,7,8,9
10,"11. Fri,4/14 at ATL L (2-5)",Margot-CF,Jankowski-LF,Myers-1B,Solarte-2B,Schimpf-3B,Renfroe-RF,Aybar-SS,Hedges-C,Chacin-P
11,"12. Sat,4/15 at ATL L (2-4)",Margot-CF,Myers-1B,Solarte-2B,Schimpf-3B,Renfroe-RF,Hedges-C,Aybar-SS,Cordoba-LF,Richard-P
12,"13. Sun,4/16 at ATL L (2-9)",Margot-CF,Jankowski-LF,Myers-1B,Solarte-2B,Schimpf-3B,Renfroe-RF,Sanchez-C,Aybar-SS,Cahill-P
13,"14. Mon,4/17 at ATL L (4-5)#",Margot-CF,Myers-1B,Solarte-2B,Renfroe-RF,Schimpf-3B,Hedges-C,Sardinas-SS,Weaver-P,Jankowski-LF
14,"15. Tue,4/18 vs ARI L (2-11)",Margot-CF,Myers-1B,Solarte-2B,Schimpf-3B,Renfroe-RF,Hedges-C,Aybar-SS,Jankowski-LF,Cosart-P
15,"16. Wed,4/19 vs ARI W (1-0)",Jankowski-CF,Cordoba-LF,Myers-1B,Solarte-2B,Schimpf-3B,Renfroe-RF,Hedges-C,Aybar-SS,Chacin-P
16,"17. Thu,4/20 vs ARI W (4-1)#",Margot-CF,Schimpf-3B,Myers-1B,Renfroe-RF,Solarte-2B,Hedges-C,Aybar-SS,Cordoba-LF,Richard-P
17,"18. Fri,4/21 vs MIA W (5-3)#",Margot-CF,Aybar-SS,Myers-1B,Solarte-2B,Hedges-C,Schimpf-3B,Renfroe-RF,Jankowski-LF,Cahill-P
18,"19. Sat,4/22 vs MIA L (3-6)",Margot-CF,Aybar-SS,Myers-1B,Solarte-2B,Hedges-C,Schimpf-3B,Renfroe-RF,Jankowski-LF,Weaver-P
19,"20. Sun,4/23 vs MIA L (3-7)",Margot-CF,Aybar-SS,Myers-1B,Solarte-2B,Renfroe-RF,Sardinas-3B,Cordoba-LF,Torrens-C,Perdomo-P
20,"21. Mon,4/24 at ARI L (6-7)",Margot-CF,Myers-1B,Solarte-2B,Renfroe-RF,Hedges-C,Schimpf-3B,Blash-LF,Aybar-SS,Chacin-P
21,"22. Tue,4/25 at ARI L (3-9)#",Margot-CF,Spangenberg-3B,Myers-1B,Solarte-2B,Renfroe-RF,Hedges-C,Aybar-SS,Blash-LF,Richard-P
22,"23. Wed,4/26 at ARI W (8-5)",Margot-CF,Spangenberg-3B,Myers-1B,Solarte-2B,Renfroe-RF,Hedges-C,Aybar-SS,Blash-LF,Cahill-P
23,"24. Thu,4/27 at ARI L (2-6)",Margot-CF,Aybar-SS,Myers-1B,Solarte-2B,Renfroe-RF,Schimpf-3B,Cordoba-LF,Torrens-C,Weaver-P
24,"25. Fri,4/28 at SFG L (3-4)",Margot-CF,Aybar-SS,Myers-1B,Solarte-2B,Schimpf-3B,Spangenberg-LF,Hedges-C,Blash-RF,Perdomo-P
25,"26. Sat,4/29 at SFG W (12-4)",Margot-CF,Spangenberg-LF,Myers-1B,Solarte-2B,Schimpf-3B,Renfroe-RF,Hedges-C,Aybar-SS,Chacin-P
26,"27. Sun,4/30 at SFG W (5-2)#",Margot-CF,Aybar-SS,Myers-1B,Solarte-2B,Hedges-C,Schimpf-3B,Renfroe-RF,Blash-LF,Richard-P
27,"28. Tue,5/2 vs COL W (6-2)",Margot-CF,Spangenberg-LF,Myers-1B,Solarte-2B,Schimpf-3B,Renfroe-RF,Hedges-C,Aybar-SS,Cahill-P
28,"29. Wed,5/3 vs COL L (3-11)",Margot-CF,Spangenberg-LF,Myers-1B,Solarte-2B,Schimpf-3B,Renfroe-RF,Hedges-C,Aybar-SS,Weaver-P
29,"30. Thu,5/4 vs COL L (2-3)#",Margot-CF,Aybar-SS,Myers-1B,Solarte-2B,Renfroe-RF,Schimpf-3B,Hedges-C,Blash-LF,Perdomo-P
30,"31. Fri,5/5 vs LAD L (2-8)",Margot-CF,Spangenberg-LF,Myers-1B,Solarte-2B,Schimpf-3B,Sanchez-C,Renfroe-RF,Aybar-SS,Chacin-P
31,"32. Sat,5/6 vs LAD L (2-10)#",Margot-CF,Spangenberg-3B,Myers-1B,Solarte-2B,Hedges-C,Renfroe-RF,Blash-LF,Sardinas-SS,Richard-P
32,"33. Mon,5/8 vs TEX W (5-1)",Margot-CF,Spangenberg-LF,Myers-1B,Solarte-2B,Schimpf-3B,Renfroe-RF,Hedges-C,Aybar-SS,Cahill-P
33,"34. Tue,5/9 vs TEX L (0-11)",Margot-CF,Spangenberg-LF,Myers-1B,Solarte-2B,Schimpf-3B,Hedges-C,Renfroe-RF,Cordoba-SS,Weaver-P
34,"35. Wed,5/10 at TEX L (3-4)",Margot-CF,Spangenberg-3B,Myers-1B,Solarte-2B,Schimpf-DH,Aybar-SS,Renfroe-RF,Szczur-LF,Torrens-C
35,"36. Thu,5/11 at TEX L (2-5)#",Margot-CF,Szczur-LF,Myers-1B,Solarte-DH,Schimpf-3B,Hedges-C,Aybar-SS,Renfroe-RF,Sardinas-2B
